epoch,bits,tot-acc.,tot-loss,oth-acc.,oth-loss,att-acc.,att-loss
8,32,83.39,0.5599527583183023,84.08888888888889,0.5823266240457694,77.1,0.35858796677109783
8,8,81.99,0.5720066242245957,84.03333333333333,0.5792996955017249,63.6,0.5063689827304333
8,7,77.18,0.6087139020740986,84.5111111111111,0.5589893520673116,11.2,1.0562348521351814
8,6,74.39,0.6528776338249445,82.58888888888889,0.6038038654095597,0.6,1.0945415495634079
8,5,72.17,0.7314505353868007,80.1,0.6962454413109356,0.8,1.0482963820695876
9,32,84.7,0.5565178300730884,84.58888888888889,0.5850998866028256,85.7,0.29927932130545376
9,8,83.43,0.5588747644042596,84.84444444444445,0.5671541275017792,70.7,0.48436049652658403
9,7,77.23,0.6170093334764242,84.75555555555556,0.551614106360409,9.5,1.2055663775205612
9,6,74.89,0.637321229031682,83.17777777777778,0.5784737114144696,0.3,1.1669488875865937
9,5,72.69,0.7008491348415613,80.67777777777778,0.6578034715751807,0.8,1.088260104238987
10,32,84.6,0.5577681695347535,84.37777777777778,0.5900140902234449,86.6,0.26755488333653193
10,8,82.38,0.5670377627111971,84.46666666666667,0.5688345731596152,63.6,0.5508664686754345
10,7,76.75,0.6095227745592594,84.41111111111111,0.5467798774904675,7.8,1.1742088481783868
10,6,74.47,0.6458887140661478,82.71111111111111,0.5937955747081174,0.3,1.1147269682884215
10,5,71.88,0.725067133423686,79.8,0.6852082234852844,0.6,1.0837973228693007
11,32,84.33,0.5805653287190122,83.81111111111112,0.6200103482488128,89.0,0.22556015295080578
11,8,81.93,0.5871788690474233,84.12222222222222,0.5897088770634599,62.2,0.5644087969030952
11,7,76.94,0.6166466389924288,84.34444444444445,0.561805421590805,10.3,1.1102175956070424
11,6,74.74,0.6560125510156155,82.94444444444444,0.6111184469328986,0.9,1.060059487760067
11,5,71.59,0.7401973929792642,79.43333333333334,0.709397778077258,1.0,1.0173939270973205
12,32,84.59,0.5828710088345542,83.5,0.6305070268842909,94.4,0.15414684638692416
12,8,81.39,0.5893048626839649,83.91111111111111,0.583490496661928,58.7,0.6416341568822973
12,7,76.57,0.6200002241462469,84.26666666666667,0.5586451426049074,7.3,1.172195958018303
12,6,74.1,0.6744314263731241,82.2,0.6317517636319001,1.2,1.0585483910441398
12,5,70.31,0.7790008501142264,78.05555555555556,0.7487682434486018,0.6,1.0510943101048469
13,32,84.73,0.5822352531857395,83.83333333333333,0.6261348392417033,92.8,0.1871389786820655
13,8,79.43,0.6126171540029347,84.33333333333333,0.5723225587308407,35.3,0.9752685114517808
13,7,76.9,0.623470235902071,84.38888888888889,0.5607563726968235,9.5,1.187895004749298
